epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,332.484,0.79467,0.49966,0.94179,0.96728,0.98353,0.98871,0.68777,0.85497,0.45249,0.92665,0.000660045,0.000660045,0.000660045
43,340.291,0.78514,0.47952,0.93232,0.96169,0.97396,0.98473,0.67756,0.86829,0.46997,0.92985,0.000649046,0.000649046,0.000649046
44,348.013,0.78219,0.48391,0.9332,0.97237,0.96637,0.98914,0.67396,0.88416,0.46052,0.93428,0.000638047,0.000638047,0.000638047
45,355.926,0.80527,0.4743,0.93538,0.97283,0.97654,0.98946,0.68775,0.86927,0.43443,0.93315,0.000627048,0.000627048,0.000627048
46,363.86,0.81381,0.48401,0.941,0.97096,0.98856,0.99246,0.69376,0.84584,0.43994,0.91802,0.000616049,0.000616049,0.000616049
47,371.766,0.78185,0.48299,0.92764,0.96303,0.97003,0.98846,0.69578,0.8311,0.45421,0.91588,0.000605051,0.000605051,0.000605051
48,379.778,0.78223,0.47136,0.93106,0.96706,0.97424,0.98647,0.69157,0.84856,0.45017,0.92062,0.000594052,0.000594052,0.000594052
49,387.7,0.80281,0.47501,0.93769,0.96538,0.98704,0.98736,0.7077,0.82331,0.42608,0.91185,0.000583053,0.000583053,0.000583053
50,395.676,0.78849,0.47208,0.92762,0.96901,0.97274,0.99206,0.71218,0.81769,0.42876,0.91245,0.000572054,0.000572054,0.000572054
51,403.548,0.78305,0.46615,0.93807,0.96899,0.986,0.98975,0.69157,0.83914,0.4355,0.91694,0.000561055,0.000561055,0.000561055
52,411.365,0.7705,0.4626,0.93101,0.96945,0.98041,0.99043,0.67912,0.86457,0.45342,0.92319,0.000550056,0.000550056,0.000550056
53,419.213,0.75806,0.45392,0.92132,0.9691,0.97443,0.9905,0.7169,0.81237,0.42821,0.90678,0.000539057,0.000539057,0.000539057
54,427.258,0.75717,0.44148,0.91753,0.97643,0.9831,0.99314,0.71441,0.81659,0.40964,0.90884,0.000528058,0.000528058,0.000528058
55,435.404,0.76946,0.4491,0.92222,0.97332,0.98334,0.99233,0.69606,0.8416,0.42771,0.91286,0.000517059,0.000517059,0.000517059
56,443.368,0.76887,0.44932,0.92007,0.97019,0.98625,0.99153,0.71016,0.80837,0.4207,0.90399,0.00050606,0.00050606,0.00050606
57,451.382,0.74018,0.43786,0.91819,0.9759,0.98218,0.99237,0.71351,0.81809,0.41508,0.90579,0.000495062,0.000495062,0.000495062
58,459.333,0.74683,0.43693,0.91093,0.97189,0.98055,0.99136,0.71675,0.81984,0.41662,0.90543,0.000484063,0.000484063,0.000484063
59,467.15,0.75472,0.44042,0.9172,0.968,0.98652,0.99182,0.72328,0.81596,0.39695,0.90606,0.000473064,0.000473064,0.000473064
60,475.074,0.75502,0.43776,0.92707,0.97367,0.98552,0.99096,0.7084,0.83472,0.41057,0.9157,0.000462065,0.000462065,0.000462065
61,483.076,0.74205,0.434,0.91931,0.97197,0.98943,0.99355,0.72147,0.8013,0.39669,0.90017,0.000451066,0.000451066,0.000451066
62,490.879,0.73758,0.42626,0.91639,0.96606,0.98386,0.99075,0.71706,0.82451,0.40725,0.90722,0.000440067,0.000440067,0.000440067
63,498.635,0.7534,0.43306,0.91771,0.96953,0.98541,0.99159,0.72194,0.80153,0.39661,0.90277,0.000429068,0.000429068,0.000429068
64,506.285,0.74885,0.43348,0.91537,0.96929,0.97774,0.98935,0.73037,0.79564,0.39665,0.90384,0.000418069,0.000418069,0.000418069
65,513.988,0.73579,0.42424,0.90721,0.97855,0.98055,0.99117,0.73527,0.78146,0.38134,0.89647,0.00040707,0.00040707,0.00040707
66,521.724,0.7409,0.4147,0.91485,0.9752,0.97489,0.99149,0.72894,0.78225,0.38321,0.89698,0.000396071,0.000396071,0.000396071
67,529.586,0.72735,0.41875,0.90615,0.9731,0.98552,0.99208,0.73517,0.7702,0.38201,0.89381,0.000385073,0.000385073,0.000385073
68,537.345,0.71391,0.41703,0.90009,0.97857,0.97954,0.991,0.73773,0.76019,0.38159,0.89001,0.000374074,0.000374074,0.000374074
69,545.164,0.70738,0.40409,0.90615,0.97666,0.98323,0.99236,0.73417,0.76947,0.38132,0.89053,0.000363075,0.000363075,0.000363075
70,553.04,0.71262,0.40386,0.91313,0.98717,0.9776,0.99419,0.74095,0.76955,0.36763,0.8894,0.000352076,0.000352076,0.000352076
