epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
10,375.739,0.89777,0.57847,0.97441,0.86216,0.97114,0.9725,0.70974,0.83048,0.55091,0.93331,0.000828008,0.000828008,0.000828008
11,413.797,0.88109,0.55967,0.97459,0.92922,0.97041,0.98942,0.73782,0.8314,0.48914,0.92907,0.000819009,0.000819009,0.000819009
12,456.959,0.88173,0.54919,0.97125,0.92369,0.97522,0.98962,0.70515,0.87769,0.49527,0.95504,0.00081001,0.00081001,0.00081001
13,501.422,0.87451,0.54164,0.96492,0.8757,0.96986,0.97728,0.72112,0.84324,0.48901,0.93457,0.000801011,0.000801011,0.000801011
14,544.75,0.86534,0.53086,0.96701,0.95288,0.97248,0.98998,0.73826,0.8506,0.46841,0.93519,0.000792012,0.000792012,0.000792012
15,587.749,0.86944,0.52175,0.95856,0.94744,0.97874,0.98827,0.73429,0.80406,0.46772,0.92137,0.000783013,0.000783013,0.000783013
16,630.918,0.8468,0.51663,0.9544,0.94905,0.97644,0.97977,0.72538,0.83171,0.48463,0.92512,0.000774013,0.000774013,0.000774013
17,673.792,0.84083,0.49669,0.95303,0.96098,0.97175,0.98782,0.74364,0.8298,0.44495,0.92725,0.000765014,0.000765014,0.000765014
18,716.793,0.84242,0.50136,0.94903,0.92729,0.97296,0.98449,0.7353,0.83273,0.44157,0.92425,0.000756015,0.000756015,0.000756015
19,759.88,0.83126,0.49024,0.94727,0.96133,0.98167,0.9903,0.76269,0.78572,0.42853,0.91142,0.000747016,0.000747016,0.000747016
20,807.291,0.82399,0.4888,0.94392,0.92319,0.96235,0.98767,0.74337,0.78176,0.44854,0.9139,0.000738017,0.000738017,0.000738017
21,850.242,0.81711,0.48176,0.94223,0.96801,0.98498,0.99057,0.75963,0.78794,0.42161,0.91093,0.000729018,0.000729018,0.000729018
22,895.985,0.81411,0.47153,0.93961,0.92467,0.98559,0.99011,0.76275,0.79266,0.42232,0.91211,0.000720019,0.000720019,0.000720019
23,939.238,0.81367,0.47571,0.93951,0.94498,0.98142,0.97931,0.75079,0.7771,0.42157,0.90581,0.00071102,0.00071102,0.00071102
24,981.782,0.81227,0.46204,0.93706,0.96336,0.9869,0.99398,0.7613,0.77932,0.40228,0.90264,0.000702021,0.000702021,0.000702021
25,1024.53,0.79142,0.45721,0.93166,0.94353,0.96744,0.98713,0.75919,0.76503,0.41389,0.90183,0.000693022,0.000693022,0.000693022
26,1068.31,0.79538,0.45359,0.93091,0.96348,0.98882,0.99103,0.76798,0.76197,0.40451,0.90471,0.000684022,0.000684022,0.000684022
27,1111.34,0.78563,0.44854,0.93181,0.93641,0.9831,0.99103,0.75866,0.76058,0.40666,0.89924,0.000675023,0.000675023,0.000675023
28,1165.36,0.78641,0.45032,0.93317,0.97465,0.97776,0.99154,0.76608,0.75413,0.38987,0.89802,0.000666024,0.000666024,0.000666024
29,1232.05,0.77792,0.43484,0.92485,0.95075,0.98349,0.99153,0.78677,0.75649,0.37207,0.89868,0.000657025,0.000657025,0.000657025
30,1305.94,0.77998,0.43414,0.92511,0.95246,0.98287,0.99107,0.78959,0.73625,0.37017,0.89145,0.000648026,0.000648026,0.000648026
31,1370.93,0.76312,0.43125,0.92082,0.95096,0.98778,0.99112,0.76484,0.75286,0.38125,0.89836,0.000639027,0.000639027,0.000639027
32,1445.92,0.76691,0.42685,0.92041,0.97012,0.96699,0.99177,0.79618,0.72219,0.36551,0.88547,0.000630028,0.000630028,0.000630028
33,1511.11,0.75557,0.42374,0.91927,0.96973,0.98799,0.99345,0.78481,0.73628,0.36763,0.88766,0.000621029,0.000621029,0.000621029
34,1584.82,0.75215,0.42007,0.9179,0.97399,0.98247,0.99291,0.78668,0.74229,0.37663,0.8926,0.00061203,0.00061203,0.00061203
35,1650.51,0.74996,0.41709,0.91507,0.97474,0.98144,0.99322,0.79669,0.71888,0.35426,0.88109,0.000603031,0.000603031,0.000603031
36,1724.86,0.74543,0.4151,0.91045,0.97869,0.98727,0.99373,0.79936,0.72118,0.35404,0.87836,0.000594031,0.000594031,0.000594031
37,1768.12,0.74286,0.40822,0.9115,0.96962,0.98472,0.99177,0.79799,0.71318,0.35574,0.88064,0.000585032,0.000585032,0.000585032
38,1798.69,0.73164,0.40727,0.90773,0.97579,0.98674,0.99328,0.80299,0.7098,0.35337,0.87956,0.000576033,0.000576033,0.000576033
39,1829.55,0.72106,0.40015,0.90171,0.96638,0.98682,0.99312,0.81001,0.70603,0.34662,0.87836,0.000567034,0.000567034,0.000567034
40,1860.21,0.71796,0.39102,0.90736,0.97673,0.98753,0.99297,0.81328,0.69648,0.33762,0.87355,0.000558035,0.000558035,0.000558035
41,1890.96,0.71948,0.38793,0.90278,0.9774,0.98003,0.99372,0.80803,0.69302,0.33751,0.87564,0.000549036,0.000549036,0.000549036
42,1921.76,0.70911,0.3916,0.90107,0.97483,0.98349,0.99031,0.79357,0.71924,0.34408,0.88774,0.000540037,0.000540037,0.000540037
43,1952.44,0.71035,0.38494,0.90301,0.97467,0.98818,0.99217,0.81215,0.70934,0.33526,0.88501,0.000531038,0.000531038,0.000531038
44,1983.22,0.69168,0.37309,0.8974,0.98185,0.98502,0.99315,0.8094,0.69643,0.32538,0.87598,0.000522039,0.000522039,0.000522039
45,2013.99,0.70165,0.38231,0.90124,0.97653,0.98543,0.99225,0.81417,0.68272,0.32764,0.87292,0.00051304,0.00051304,0.00051304
46,2044.99,0.69364,0.37532,0.89499,0.97902,0.98597,0.99398,0.82,0.68563,0.31557,0.8715,0.00050404,0.00050404,0.00050404
47,2075.88,0.6876,0.37084,0.89428,0.97904,0.98552,0.9941,0.8201,0.66874,0.31666,0.86664,0.000495041,0.000495041,0.000495041
48,2106.73,0.68467,0.37035,0.88908,0.97875,0.98488,0.99392,0.82069,0.66198,0.32383,0.86439,0.000486042,0.000486042,0.000486042
49,2137.58,0.67993,0.37177,0.89309,0.98391,0.98187,0.99468,0.81653,0.6718,0.31713,0.86705,0.000477043,0.000477043,0.000477043
